Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Philip Billing,Bournemouth,Midfielder,1.4,1.1,109,14,3.8,39.98,43,0.32,3.48,7,0.22,21.0,21.0,0.8,5.2,8,5,10.371075166508087,0.5209827833572453,0.21995738636363635,0.24481605351170568,,5.0,3.52
Siriki Dembélé,Bournemouth,Midfielder,0.1,0.0,6,0,1.0,2.28,2,0.0,0.16,0,0.32,1.3,1.3,0.0,4.7,0,0,0.570884871550904,0.02851506456241033,0.037144886363636366,0.018729096989966554,,,-0.16
Jaidon Anthony,Bournemouth,Midfielder,0.1,0.87,50,4,2.2,21.92,25,0.17,1.53,3,0.21,9.6,9.6,0.1,5.2,2,2,4.757373929590866,0.2223816355810617,0.1260653409090909,0.14849498327759197,,3.0,1.47
Joe Rothwell,Bournemouth,Midfielder,0.0,0.94,22,0,1.6,9.98,6,0.31,0.12,0,0.21,4.5,4.5,0.2,4.9,2,1,2.093244529019981,0.0699426111908178,0.07776988636363637,0.012040133779264214,,6.0,-0.12
Marcus Tavernier,Bournemouth,Midfielder,0.2,0.96,79,9,4.0,27.33,32,0.24,2.65,4,0.22,16.8,16.8,0.5,4.7,4,1,7.516650808753568,0.3258608321377331,0.20539772727272726,0.25484949832775916,,2.0,1.35
Dango Ouattara,Bournemouth,Midfielder,0.0,1.19,30,2,2.7,18.67,14,0.11,2.35,0,0.34,6.0,6.0,0.3,5.0,1,1,2.8544243577545196,0.1524390243902439,0.11732954545454545,0.12909698996655516,,,-2.35
Hamed Traorè,Bournemouth,Midfielder,0.0,1.06,14,0,2.0,9.94,8,0.42,1.04,0,0.46,3.1,3.1,0.2,4.5,2,0,1.3320647002854424,0.07532281205164992,0.1551846590909091,0.024080267558528427,,1.0,-1.04
Christian Nørgaard,Brentford,Midfielder,0.2,1.05,69,6,3.5,24.12,21,0.33,1.47,1,0.18,13.0,13.0,0.5,5.3,6,5,5.15695067264574,0.3113342898134864,0.11377840909090908,0.16521739130434782,,,-0.47
Josh Dasilva,Brentford,Midfielder,3.5,0.95,65,0,2.2,15.89,16,0.37,0.99,3,0.18,15.9,15.9,0.2,4.1,5,1,4.857997010463378,0.2306312769010043,0.1325284090909091,0.09765886287625418,4.0,,2.01
Vitaly Janelt,Brentford,Midfielder,0.1,0.96,68,5,2.5,22.19,24,0.23,2.17,3,0.18,12.4,12.4,0.1,5.5,4,1,5.082212257100149,0.31276901004304164,0.1192471590909091,0.14113712374581938,,,0.8300000000000001
Saman Ghoddos,Brentford,Midfielder,0.0,0.0,11,0,1.0,3.88,5,0.0,0.05,0,0.33,2.3,2.3,0.0,4.8,0,0,0.8221225710014948,0.020086083213773313,0.027769886363636365,0.011371237458193979,,3.0,-0.05
Mathias Jensen,Brentford,Midfielder,2.7,1.17,115,11,3.8,33.65,35,0.31,2.17,5,0.23,24.0,24.0,0.9,4.8,8,3,8.594917787742899,0.5132711621233859,0.46200284090909094,0.13244147157190636,,2.0,2.83
Yoane Wissa,Brentford,Midfielder,0.2,0.9,82,4,2.7,17.0,14,0.3,3.78,5,0.35,15.5,15.5,0.4,5.3,4,2,6.128550074738415,0.2387015781922525,0.09545454545454546,0.18595317725752508,,,1.2200000000000002
Frank Onyeka,Brentford,Midfielder,0.0,0.73,20,0,1.4,9.54,8,0.18,0.37,0,0.19,4.2,4.2,0.0,4.8,1,0,1.4947683109118086,0.070480631276901,0.04325284090909091,0.03946488294314381,,,-0.37
Shandon Baptiste,Brentford,Midfielder,0.2,0.74,19,0,1.2,5.94,6,0.18,0.26,0,0.15,4.2,4.2,0.0,4.5,1,1,1.4200298953662183,0.06599713055954089,0.07848011363636363,0.032107023411371234,,,-0.26
Keane Lewis-Potter,Brentford,Midfielder,0.0,0.86,14,0,1.4,4.15,4,0.0,0.49,0,0.22,2.7,2.7,0.0,5.2,0,0,1.046337817638266,0.03766140602582496,0.045454545454545456,0.07625418060200669,,,-0.49
Mikkel Damsgaard,Brentford,Midfielder,0.1,0.84,22,0,1.2,10.63,11,0.14,0.62,0,0.23,4.4,4.4,0.2,5.0,1,3,1.6442451420029895,0.09074605451936872,0.09850852272727272,0.05284280936454849,,,-0.62
Kevin Schade,Brentford,Midfielder,0.0,0.59,15,0,1.5,3.52,4,0.3,0.95,0,0.32,3.1,3.1,0.3,4.9,1,1,1.1210762331838564,0.039634146341463415,0.04332386363636364,0.06220735785953177,,,-0.95
Adam Lallana,Brighton,Midfielder,0.1,1.51,47,4,2.9,10.59,10,0.63,0.88,2,0.26,9.8,9.8,0.0,4.8,5,0,3.769045709703288,0.1293041606886657,0.13259943181818182,0.10167224080267558,,,1.12
Pascal Groß,Brighton,Midfielder,9.1,1.03,116,10,4.1,34.11,36,0.33,4.18,6,0.4,21.5,21.5,0.5,5.4,9,4,9.30232558139535,0.5837517934002869,0.6632102272727273,0.2936454849498328,2.0,1.0,1.8200000000000003
Solly March,Brighton,Midfielder,11.4,1.04,134,16,4.8,32.85,35,0.37,6.39,6,0.44,25.8,25.8,1.2,5.2,10,2,10.7457898957498,0.6319942611190817,0.5705255681818182,0.579933110367893,,2.0,-0.3899999999999997
Alexis Mac Allister,Brighton,Midfielder,8.1,1.0,105,14,4.2,27.76,31,0.33,9.0,8,0.5,19.1,19.1,0.6,5.5,8,7,8.420208500400962,0.5078909612625537,0.3283380681818182,0.3652173913043478,1.0,,-1.0
Enock Mwepu,Brighton,Midfielder,0.0,0.86,11,0,1.8,2.77,4,0.0,0.22,0,0.19,2.1,2.1,0.0,5.3,0,0,0.8821170809943866,0.043758967001434716,0.027698863636363636,0.022742474916387957,,,-0.22
Jeremy Sarmiento Morante,Brighton,Midfielder,0.0,0.54,16,0,1.8,2.76,2,0.54,0.33,0,0.32,3.6,3.6,0.0,4.5,1,1,1.2830793905372895,0.04178622668579627,0.02713068181818182,0.033444816053511704,,,-0.33
Moisés Caicedo Corozo,Brighton,Midfielder,0.3,1.0,61,0,2.3,31.08,32,0.31,1.3,1,0.13,12.2,12.2,0.4,5.0,8,8,4.891740176423416,0.40781922525107606,0.3671875,0.11304347826086956,,,-0.30000000000000004
Kaoru Mitoma,Brighton,Midfielder,27.6,0.94,112,11,4.9,21.54,20,0.35,4.14,7,0.48,19.6,19.6,1.0,5.7,6,0,8.981555733761027,0.4257532281205165,0.2578125,0.37725752508361204,,,2.8600000000000003
Billy Gilmour,Brighton,Midfielder,0.3,1.12,7,0,1.0,3.33,4,0.0,0.2,0,0.31,1.7,1.7,0.0,4.2,0,1,0.5613472333600642,0.012553802008608322,0.014133522727272727,0.007357859531772575,,,-0.2
Andrew Moran,Brighton,Midfielder,0.0,0.0,1,0,1.0,0.82,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.08019246190858059,0.0,0.0,0.0,,,0.0
Facundo Buonanotte,Brighton,Midfielder,0.0,0.0,7,0,1.8,0.76,1,0.0,0.1,0,0.2,1.6,1.6,0.0,4.5,0,0,0.5613472333600642,0.018292682926829267,0.02365056818181818,0.008026755852842809,,,-0.1
Yasin Ayari,Brighton,Midfielder,0.0,0.0,1,0,1.0,0.06,0,0.0,0.02,0,2.88,0.2,0.2,0.0,4.5,0,0,0.08019246190858059,0.003048780487804878,0.009943181818181818,0.0006688963210702341,,,-0.02
Carney Chukwuemeka,Chelsea,Midfielder,0.3,0.41,14,0,1.3,3.94,3,0.41,0.28,0,0.17,3.3,3.3,0.0,4.2,1,0,1.1935208866155158,0.04196556671449067,0.03707386363636364,0.04414715719063545,,,-0.28
Mateo Kovacic,Chelsea,Midfielder,0.4,0.89,44,2,2.0,19.9,18,0.25,1.7,1,0.22,9.0,9.0,0.3,4.9,4,7,3.751065643648764,0.21789813486370158,0.21938920454545455,0.0688963210702341,,,-0.7
N'Golo Kanté,Chelsea,Midfielder,1.1,0.98,9,0,2.2,1.64,1,0.65,0.21,0,0.24,1.9,1.9,0.2,4.8,2,0,0.7672634271099744,0.05236728837876614,0.06867897727272727,0.025418060200668894,,,-0.21
