Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Dejan Kulusevski,Spurs,Midfielder,3.9,1.0,80,5,3.6,21.88,25,0.39,1.95,2,0.35,10.3,10.3,0.4,7.8,7,1,5.805515239477503,0.3086441893830703,0.35901988636363635,0.2882943143812709,,3.0,0.050000000000000044
Harvey White,Spurs,Midfielder,0.3,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.9,0.2,0.2,0.0,4.4,0,0,0.07256894049346879,0.001793400286944046,0.005184659090909091,0.0,,,0.0
Pape Matar Sarr,Spurs,Midfielder,0.5,0.63,8,0,1.0,3.44,4,0.0,0.06,0,0.06,1.9,1.9,0.2,4.2,0,1,0.5805515239477503,0.022417503586800575,0.010795454545454546,0.0026755852842809363,,,-0.06
Bryan Gil Salvatierra,Spurs,Midfielder,0.0,1.23,9,0,2.2,0.9,1,0.62,0.1,0,0.11,1.8,1.8,0.0,5.0,1,1,0.6531204644412192,0.027259684361549498,0.01953125,0.01806020066889632,,,-0.1
Arnaut Danjuma,Spurs,Midfielder,0.0,0.0,2,0,1.0,0.44,1,0.0,0.0,0,0.08,0.3,0.3,0.0,6.1,0,0,0.14513788098693758,0.007173601147776184,0.010511363636363636,0.0,,,0.0
Manuel Lanzini,West Ham,Midfielder,0.1,0.63,7,0,1.0,1.91,3,0.0,0.06,0,0.09,1.4,1.4,0.0,5.0,0,0,0.618921308576481,0.006276901004304161,0.005397727272727273,0.010702341137123745,1.0,,-0.06
Saïd Benrahma,West Ham,Midfielder,1.0,0.96,78,2,2.9,23.32,24,0.22,5.32,4,0.44,14.2,14.2,0.4,5.5,4,0,6.896551724137931,0.3484576757532281,0.3580255681818182,0.3384615384615384,2.0,,-1.3200000000000003
Jarrod Bowen,West Ham,Midfielder,3.1,1.0,108,6,3.7,35.62,39,0.24,8.18,4,0.44,13.5,13.5,0.6,8.0,7,2,9.549071618037134,0.41015064562410325,0.4036931818181818,0.5933110367892976,4.0,1.0,-4.18
Declan Rice,West Ham,Midfielder,3.1,1.0,86,9,3.0,35.62,39,0.24,1.93,2,0.12,18.3,18.3,0.5,4.7,7,5,7.603890362511052,0.5407101865136298,0.32798295454545456,0.10234113712374582,,3.0,0.07000000000000006
Tomas Soucek,West Ham,Midfielder,0.6,1.02,69,3,2.4,30.28,31,0.24,2.89,1,0.16,13.8,13.8,0.5,5.0,6,2,6.10079575596817,0.3760760401721664,0.12890625,0.2140468227424749,,,-1.8900000000000001
Pablo Fornals Malla,West Ham,Midfielder,0.3,0.99,47,3,2.0,15.74,17,0.08,0.96,1,0.22,9.6,9.6,0.1,4.9,1,0,4.155614500442087,0.15763988522238165,0.1609375,0.08494983277591973,,5.0,0.040000000000000036
Flynn Downes,West Ham,Midfielder,0.3,0.77,19,0,1.3,5.59,7,0.19,0.35,0,0.08,4.5,4.5,0.2,4.2,1,1,1.6799292661361624,0.03084648493543759,0.015482954545454546,0.0294314381270903,,,-0.35
Conor Coventry,West Ham,Midfielder,0.1,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.4,0,0,0.08841732979664013,0.0,0.0,0.0,,,0.0
Maxwel Cornet,West Ham,Midfielder,0.1,0.77,8,0,1.0,1.7,3,0.0,1.01,0,0.84,1.4,1.4,0.1,5.9,0,0,0.707338638373121,0.016140602582496413,0.014488636363636363,0.03411371237458194,,,-1.01
Lucas Tolentino Coelho de Lima,West Ham,Midfielder,0.5,1.14,64,7,3.2,20.7,25,0.24,3.62,2,0.31,10.8,10.8,0.3,5.9,4,4,5.658709106984968,0.2813845050215208,0.2100852272727273,0.2494983277591973,3.0,,-1.62
Rúben da Silva Neves,Wolves,Midfielder,1.6,1.01,91,13,3.2,39.55,37,0.25,4.14,5,0.19,17.5,17.5,0.2,5.2,7,10,8.449396471680593,0.5887733142037302,0.2524147727272727,0.19999999999999998,2.0,,0.8600000000000003
Hwang Hee-chan,Wolves,Midfielder,0.1,1.11,34,0,1.8,9.2,10,0.12,1.25,1,0.21,6.0,6.0,0.1,5.7,1,1,3.1569173630454963,0.0896700143472023,0.08245738636363636,0.08361204013377926,3.0,,-0.25
Daniel Castelo Podence,Wolves,Midfielder,0.7,1.06,86,10,3.1,24.25,28,0.28,3.51,6,0.3,16.5,16.5,0.8,5.2,5,5,7.985143918291551,0.32908895265423244,0.33181818181818185,0.3665551839464883,,1.0,2.49
Pedro Lomba Neto,Wolves,Midfielder,1.6,1.21,25,0,2.1,7.92,8,0.48,1.02,0,0.27,5.1,5.1,0.3,4.9,4,1,2.321262766945218,0.07030129124820661,0.16477272727272727,0.12240802675585284,,,-1.02
Adama Traoré Diarra,Wolves,Midfielder,0.3,0.72,55,0,2.0,23.87,24,0.07,1.17,2,0.29,10.2,10.2,0.2,5.4,1,0,5.10677808727948,0.21036585365853658,0.24580965909090913,0.1377926421404682,,,0.8300000000000001
João Filipe Iria Santos Moutinho,Wolves,Midfielder,0.3,1.04,53,0,1.9,27.06,27,0.31,1.3,0,0.17,11.5,11.5,0.2,4.6,6,3,4.921077065923862,0.27187948350071733,0.36292613636363635,0.09364548494983277,,3.0,-1.3
Joseph Hodge,Wolves,Midfielder,0.0,0.54,4,0,0.8,4.01,5,0.0,0.12,0,0.08,0.9,0.9,0.0,4.3,0,1,0.3714020427112349,0.01291248206599713,0.011505681818181818,0.017391304347826087,,,-0.12
Connor Ronan,Wolves,Midfielder,0.1,0.0,1,0,1.0,0.03,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.4,0,0,0.09285051067780872,0.0005380200860832137,0.00028409090909090913,0.0,,,0.0
Chem Campbell,Wolves,Midfielder,0.3,0.0,5,0,1.0,1.02,2,0.0,0.1,0,0.13,1.1,1.1,0.0,4.4,0,0,0.4642525533890436,0.005021520803443328,0.002130681818181818,0.010702341137123745,,,-0.1
Gonçalo Manuel Ganchinho Guedes,Wolves,Midfielder,0.2,1.02,29,1,2.2,11.99,12,0.26,1.2,1,0.21,5.0,5.0,0.0,5.8,2,1,2.692664809656453,0.08016499282639886,0.09914772727272728,0.1491638795986622,,,-0.19999999999999996
Matheus Luiz Nunes,Wolves,Midfielder,0.1,1.1,64,5,2.6,27.63,24,0.38,2.07,1,0.15,13.3,13.3,0.6,4.8,8,1,5.942432683379758,0.2528694404591105,0.22443181818181818,0.17525083612040132,,6.0,-1.0699999999999998
Boubacar Traoré,Wolves,Midfielder,0.0,0.95,12,0,1.5,6.39,7,0.0,0.07,0,0.03,2.8,2.8,0.0,4.3,0,2,1.1142061281337048,0.043041606886657105,0.011789772727272729,0.0046822742474916385,,,-0.07
Mario Lemina,Wolves,Midfielder,0.0,1.26,15,0,1.4,14.78,14,0.25,0.17,0,0.07,3.3,3.3,0.4,4.5,2,2,1.392757660167131,0.10222381635581061,0.027769886363636365,0.012709030100334447,,,-0.17
Pablo Sarabia,Wolves,Midfielder,0.1,0.94,20,3,2.0,9.5,8,0.16,2.64,1,0.53,3.8,3.8,0.1,5.3,1,3,1.8570102135561743,0.07137733142037302,0.10880681818181817,0.09297658862876254,,2.0,-1.6400000000000001
João Victor Gomes da Silva,Wolves,Midfielder,0.0,0.73,12,2,2.4,4.43,6,0.37,0.25,1,0.11,2.7,2.7,0.2,4.5,1,3,1.1142061281337048,0.07604017216642754,0.02819602272727273,0.01806020066889632,,,0.75
