Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
Levi Colwill,Brighton,Defender,0.1,1.01,25,3,2.5,12.47,12,0.25,0.36,0,0.08,5.7,5.7,0.6,4.4,2,0,2.0048115477145148,0.09540889526542325,0.02727272727272727,0.009364548494983277,,,-0.47000000000000064
Pervis Estupiñán,Brighton,Defender,12.5,1.08,87,11,3.5,27.18,29,0.34,0.57,0,0.16,18.1,18.1,0.8,4.8,7,3,6.976744186046512,0.35078909612625536,0.3655539772727273,0.11839464882943143,,,1.8200000000000003
Marc Cucurella Saseta,Chelsea,Defender,5.9,1.13,65,1,2.7,26.03,20,0.32,0.38,0,0.07,13.3,13.3,0.4,4.9,6,4,5.541346973572037,0.3177905308464849,0.1651278409090909,0.048160535117056855,,,-6.030000000000001
César Azpilicueta,Chelsea,Defender,1.1,0.9,40,4,2.1,16.18,11,0.25,0.29,0,0.1,8.5,8.5,0.0,4.7,3,3,3.410059676044331,0.1944045911047346,0.1213068181818182,0.05618729096989966,,,-5.18
Thiago Emiliano da Silva,Chelsea,Defender,5.4,0.99,72,8,3.4,25.99,22,0.3,1.03,0,0.08,13.3,13.3,0.0,5.4,6,1,6.138107416879795,0.48493543758966995,0.047159090909090914,0.07224080267558528,,,-3.9899999999999984
Ben Chilwell,Chelsea,Defender,10.6,0.94,65,4,3.4,12.01,11,0.34,1.2,2,0.28,10.8,10.8,0.4,6.0,4,3,5.541346973572037,0.2024748923959828,0.22272727272727275,0.09431438127090301,,1.0,-1.0099999999999998
Trevoh Chalobah,Chelsea,Defender,0.5,0.98,40,0,2.4,16.93,11,0.44,0.41,0,0.05,9.1,9.1,0.1,4.4,5,3,3.410059676044331,0.14472740315638452,0.02080965909090909,0.040802675585284276,,,-5.93
Reece James,Chelsea,Defender,12.6,1.04,43,5,2.9,13.62,16,0.15,1.06,1,0.3,7.4,7.4,0.5,5.8,2,4,3.6658141517476555,0.2571736011477762,0.25404829545454544,0.10100334448160535,2.0,4.0,2.380000000000001
Wesley Fofana,Chelsea,Defender,1.1,0.89,32,4,2.9,11.72,13,0.2,0.74,1,0.08,7.4,7.4,0.7,4.3,2,3,2.7280477408354646,0.19619799139167862,0.019389204545454546,0.05484949832775919,,,1.2799999999999994
Kalidou Koulibaly,Chelsea,Defender,6.5,1.01,73,8,3.3,22.36,22,0.3,0.88,2,0.06,13.3,13.3,0.5,5.5,6,5,6.223358908780904,0.4365136298421808,0.07393465909090909,0.09431438127090301,,,-0.35999999999999943
Benoît Badiashile,Chelsea,Defender,0.6,0.99,31,2,3.9,7.14,4,0.57,0.83,0,0.14,6.2,6.2,0.0,5.0,4,1,2.6427962489343564,0.12123385939741749,0.030752840909090907,0.03879598662207358,,,-3.1399999999999997
James Tomkins,Crystal Palace,Defender,0.9,0.81,7,1,1.4,9.99,10,0.0,0.81,1,0.22,1.8,1.8,-0.1,3.9,0,1,0.6439742410303588,0.08070301291248207,0.00078125,0.03612040133779264,,,0.009999999999999787
Joel Ward,Crystal Palace,Defender,0.2,0.97,46,3,2.3,24.61,27,0.29,0.08,0,0.01,10.5,10.5,0.2,4.4,5,5,4.231830726770929,0.24354375896700145,0.048295454545454544,0.02809364548494983,,,2.3900000000000006
Nathaniel Clyne,Crystal Palace,Defender,0.2,1.04,44,0,2.0,26.26,23,0.16,0.0,0,0.03,9.8,9.8,0.2,4.5,3,3,4.04783808647654,0.18256814921090386,0.08870738636363637,0.005351170568561873,,,-3.2600000000000016
Joachim Andersen,Crystal Palace,Defender,1.4,1.03,59,1,2.5,29.29,29,0.21,1.55,1,0.1,13.1,13.1,0.3,4.5,5,6,5.427782888684453,0.4809899569583931,0.07705965909090909,0.16120401337792642,,,-0.28999999999999915
Marc Guéhi,Crystal Palace,Defender,1.2,1.0,69,1,2.4,38.55,37,0.21,0.93,1,0.04,15.7,15.7,0.6,4.4,6,8,6.347746090156393,0.5138091822094691,0.05944602272727273,0.09966555183946488,,,-1.5499999999999972
Tyrick Mitchell,Crystal Palace,Defender,0.7,1.08,67,5,2.4,34.98,31,0.21,0.53,0,0.06,15.2,15.2,0.3,4.4,5,4,6.163753449862005,0.3319583931133429,0.1299715909090909,0.07357859531772575,,,-3.979999999999997
Chris Richards,Crystal Palace,Defender,0.1,0.76,12,0,1.5,9.83,9,0.25,0.71,0,0.18,2.7,2.7,0.0,4.4,1,0,1.1039558417663293,0.07065997130559541,0.009659090909090909,0.01471571906354515,,,-0.8300000000000001
Seamus Coleman,Everton,Defender,0.7,1.06,63,5,2.9,31.88,23,0.28,0.27,1,0.05,14.7,14.7,0.3,4.3,5,1,6.274900398406374,0.2616571018651363,0.06598011363636364,0.0608695652173913,,,-8.879999999999999
Michael Keane,Everton,Defender,0.5,0.96,24,3,3.4,14.21,12,0.16,0.88,1,0.16,5.7,5.7,1.0,4.2,1,0,2.3904382470119523,0.13073888091822095,0.009446022727272728,0.05284280936454849,,,-2.210000000000001
Yerry Mina,Everton,Defender,0.1,1.15,13,3,4.3,4.24,4,0.0,0.3,1,0.13,3.0,3.0,0.0,4.3,0,1,1.294820717131474,0.0742467718794835,0.003053977272727273,0.025418060200668894,,,-0.2400000000000002
Mason Holgate,Everton,Defender,0.1,0.74,12,2,2.4,8.1,6,0.25,0.3,0,0.1,2.9,2.9,0.0,4.2,1,1,1.1952191235059761,0.07119799139167862,0.025852272727272727,0.032107023411371234,,,-2.0999999999999996
Ben Godfrey,Everton,Defender,0.1,1.12,17,0,1.7,14.61,12,0.14,1.18,0,0.17,4.0,4.0,0.5,4.3,1,2,1.693227091633466,0.11298421807747488,0.02890625,0.026755852842809364,,,-2.6099999999999994
Vitalii Mykolenko,Everton,Defender,0.7,1.02,64,2,2.2,42.19,36,0.25,0.5,0,0.06,15.6,15.6,0.2,4.1,6,3,6.374501992031872,0.38576040172166426,0.1989346590909091,0.07290969899665552,,,-6.189999999999998
Nathan Patterson,Everton,Defender,2.3,1.0,25,0,1.8,18.64,17,0.18,0.48,0,0.09,6.4,6.4,0.1,3.9,2,3,2.49003984063745,0.16140602582496413,0.05546875,0.06822742474916388,,,-1.6400000000000006
James Tarkowski,Everton,Defender,4.5,1.0,85,11,2.8,53.17,43,0.23,2.11,1,0.12,20.2,20.2,0.5,4.2,7,6,8.46613545816733,0.7550215208034433,0.11392045454545455,0.2354515050167224,,,-10.170000000000002
Conor Coady,Everton,Defender,3.4,1.01,70,5,3.2,36.25,28,0.27,0.84,1,0.06,14.6,14.6,0.0,4.8,6,2,6.97211155378486,0.3491750358680057,0.0421875,0.0588628762541806,,,-8.25
Rúben Nascimento Vinagre,Everton,Defender,0.0,0.0,2,0,1.0,0.31,0,0.0,0.0,0,0.0,0.5,0.5,0.0,4.3,0,0,0.199203187250996,0.0068149210903873745,0.0009943181818181817,0.0,,,-0.31
Cédric Alves Soares,Fulham,Defender,0.1,0.81,7,0,1.2,0.84,2,0.0,0.02,0,0.12,1.7,1.7,0.4,4.2,0,0,0.5977796754910333,0.025107604017216643,0.02471590909090909,0.004013377926421404,,,1.1600000000000001
Shane Duffy,Fulham,Defender,0.1,0.0,4,0,1.0,0.6,2,0.0,0.0,0,0.0,0.9,0.9,0.0,4.3,0,0,0.3415883859948762,0.0001793400286944046,0.0,0.0,,,1.4
Tim Ream,Fulham,Defender,2.5,1.0,91,12,3.1,49.96,40,0.28,0.24,1,0.02,19.8,19.8,0.3,4.6,8,2,7.771135781383433,0.49103299856527977,0.037428977272727273,0.05083612040133779,,,-9.96
Tosin Adarabioyo,Fulham,Defender,0.1,0.99,33,1,2.1,29.0,26,0.14,0.3,1,0.03,7.5,7.5,0.2,4.4,2,2,2.818104184457728,0.27923242467718795,0.03316761363636364,0.061538461538461535,,,-3.0
Kenny Tete,Fulham,Defender,0.5,1.01,65,0,2.8,33.85,24,0.29,0.48,0,0.09,14.8,14.8,0.1,4.4,6,7,5.5508112724167376,0.4232424677187948,0.2137784090909091,0.055518394648829426,,,-9.850000000000001
Antonee Robinson,Fulham,Defender,0.5,1.03,73,5,2.8,40.2,31,0.32,0.07,0,0.05,16.6,16.6,0.2,4.4,8,7,6.23398804440649,0.39078192252510763,0.25376420454545456,0.03411371237458194,,,-9.200000000000003
