Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Paul Onuachu,Southampton,Forward,0.0,0.86,10,0,1.2,0.46,0,0.15,1.8,1.8,0.1,5.5,1,0,1.0080645161290323,0.02100626799932238,0.03626152672814255,0.059244791666666664,,,-0.46
Harry Kane,Spurs,Forward,39.3,1.01,200,35,6.5,17.65,23,0.65,17.1,17.1,0.5,11.7,10,5,14.174344436569807,0.8729459596815179,0.4214102475213201,1.0,1.0,,5.350000000000001
Richarlison de Andrade,Spurs,Forward,0.7,1.07,41,2,2.0,2.35,0,0.44,4.9,4.9,0.1,8.4,2,2,2.9057406094968106,0.1211248517702863,0.12570200374402,0.18359375,,,-2.35
Danny Ings,West Ham,Forward,1.6,0.91,83,13,3.0,7.62,8,0.57,13.0,13.0,0.2,6.4,5,3,7.112253641816624,0.3113671014738269,0.10712057130971366,0.357421875,,,0.3799999999999999
Michail Antonio,West Ham,Forward,1.4,0.98,60,3,2.2,4.11,3,0.3,8.6,8.6,0.3,7.0,3,2,5.141388174807198,0.17923089954260546,0.1164806212299799,0.2884114583333333,,,-1.1100000000000003
Gianluca Scamacca,West Ham,Forward,0.6,1.07,41,7,2.6,2.42,3,0.29,6.2,6.2,0.0,6.6,3,3,3.513281919451585,0.12857868880230394,0.11141926090272482,0.203125,,,0.5800000000000001
Divin Mubama,West Ham,Forward,0.0,0.0,1,0,1.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.08568980291345331,0.0,6.933370311308328e-05,0.0,,,0.0
Raúl Jiménez,Wolves,Forward,0.3,0.85,26,0,2.0,2.55,0,0.38,3.9,3.9,0.1,6.6,2,0,2.276707530647986,0.06318820938505844,0.08021909450183735,0.17513020833333331,1.0,,-2.55
Sasa Kalajdzic,Wolves,Forward,0.0,2.0,1,0,1.0,0.27,0,0.54,0.2,0.2,0.0,5.3,0,0,0.08756567425569177,0.0,0.0,0.005859375,,,-0.27
Diego Da Silva Costa,Wolves,Forward,0.2,1.14,27,3,1.6,2.68,1,0.33,5.1,5.1,0.6,5.3,4,2,2.364273204903678,0.06539047941724548,0.0713443805033627,0.287109375,,,-1.6800000000000002
Matheus Santos Carneiro Da Cunha,Wolves,Forward,0.1,1.07,24,3,2.0,1.33,1,0.2,4.5,4.5,0.7,5.3,3,0,2.1015761821366024,0.06539047941724548,0.04548290924218262,0.12044270833333333,,,-0.33000000000000007
